3,	handle: 0x0003,	 uuid: 00002a00-0000-1000-8000-00805f9b34fb,	R,	SIG,	Generic Access,	Device Name,
5,	handle: 0x0005,	 uuid: 00002a01-0000-1000-8000-00805f9b34fb,	R,	SIG,	Generic Access,	Apperance,
7,	handle: 0x0007,	 uuid: 00002a04-0000-1000-8000-00805f9b34fb,	R,	SIG,	Generic Access,	Peripheral Preferred Connection Parameters,
11,	handle: 0x000b,	 uuid: 00002a23-0000-1000-8000-00805f9b34fb,	R,	SIG,	Generic Attribute,	System ID,
13,	handle: 0x000d,	 uuid: 00002a25-0000-1000-8000-00805f9b34fb,	R,	SIG,	Device Information,	Serial Number String,
15,	handle: 0x000f,	 uuid: 00002a26-0000-1000-8000-00805f9b34fb,	R,	SIG,	Device Information,	Firmware Revision String,
17,	handle: 0x0011,	 uuid: 00002a27-0000-1000-8000-00805f9b34fb,	R,	SIG,	Device Information,	Hardware Revision String,
19,	handle: 0x0013,	 uuid: 00002a28-0000-1000-8000-00805f9b34fb,	R,	SIG,	Device Information,	Software Revision String,
21,	handle: 0x0015,	 uuid: 00002a29-0000-1000-8000-00805f9b34fb,	R,	SIG,	Device Information,	Manufacturer Name String,
24,	handle: 0x0018,	 uuid: 02a65821-0001-1000-2000-b05cb05cb05c,	R,	SCD,	SCD Settings,	Inteface Version,
26,	handle: 0x001a,	 uuid: 02a65821-0002-1000-2000-b05cb05cb05c,	R,	SCD,	SCD Settings,	Self-Test Result,
28,	handle: 0x001c,	 uuid: 02a65821-0003-1000-2000-b05cb05cb05c,	RW,	SCD,	SCD Settings,	Mode Selection,
30,	handle: 0x001e,	 uuid: 02a65821-0004-1000-2000-b05cb05cb05c,	RW,	SCD,	SCD Settings,	SCD generic commands,
32,	handle: 0x0020,	 uuid: 02a65821-0005-1000-2000-b05cb05cb05c,	W,	SCD,	SCD Settings,	SCD Device Name,
35,	handle: 0x0023,	 uuid: 02a65821-1001-1000-2000-b05cb05cb05c,	RW/*R,	SCD,	Short Term Experiment,	STE Configuration Parameters,
37,	handle: 0x0025,	 uuid: 02a65821-1002-1000-2000-b05cb05cb05c,	RN,	SCD,	Short Term Experiment,	STE Result,
41,	handle: 0x0029,	 uuid: 02a65821-3001-1000-2000-b05cb05cb05c,	W,	SCD,	Bulk Data Transfer,	Bulk Data Transfer Control,
43,	handle: 0x002b,	 uuid: 02a65821-3002-1000-2000-b05cb05cb05c,	R,	SCD,	Bulk Data Transfer,	Bulk Data Transfer Status,
45,	handle: 0x002d,	 uuid: 02a65821-3003-1000-2000-b05cb05cb05c,	RN,	SCD,	Bulk Data Transfer,	Bulk Data Transfer Data Flow, 
49,	handle: 0x0031,	 uuid: f000ffc1-0451-4000-b000-000000000000,	-,	TI,	Over the Air Download,	Image Identify,
53,	handle: 0x0035,	 uuid: f000ffc2-0451-4000-b000-000000000000,	-,	TI,	Over the Air Download,	Image Block,
57,	handle: 0x0039,	 uuid: f000ffc3-0451-4000-b000-000000000000,	-,	TI,	Over the Air Download,	Image Count,
60,	handle: 0x003c,	 uuid: f000ffc4-0451-4000-b000-000000000000,	-,	TI,	Over the Air Download,	Image Status,
